conta;mes;ano;gravado;recalculado;diff;diff_pct;nota_gravada;nota_recalc;mes_corrente
NOVA;12;2024;0,00;56676,39;56676,39;100,00;0,00;26428,86;N
NOVA;1;2024;0,00;43246,97;43246,97;100,00;0,00;23824,06;N
NOVA;5;2025;0,00;34110,06;34110,06;100,00;0,00;0,00;N
NOVA;7;2026;98281,43;99763,43;1482,00;1,51;54343,48;55825,48;S
NOVA;11;2022;4648,02;5080,02;432,00;9,29;;3136,00;N
NOVA;12;2022;15116,80;15116,80;0,00;0,00;;15116,80;N
NOVA;1;2023;15762,45;15762,45;0,00;0,00;;15762,45;N
NOVA;2;2023;21440,86;21440,86;0,00;0,00;;12224,24;N
NOVA;3;2023;75036,02;75036,02;0,00;0,00;;23816,57;N
NOVA;4;2023;65346,47;65346,47;0,00;0,00;;16673,57;N
NOVA;5;2023;66414,54;66414,54;0,00;0,00;;41942,74;N
NOVA;6;2023;52599,81;52599,81;0,00;0,00;;32654,75;N
NOVA;7;2023;58016,11;58016,11;0,00;0,00;;39078,48;N
NOVA;8;2023;108332,86;108332,86;0,00;0,00;;63219,05;N
NOVA;9;2023;78323,83;78323,83;0,00;0,00;;26358,33;N
NOVA;10;2023;102282,06;102282,06;0,00;0,00;;47811,76;N
NOVA;11;2023;124231,15;124231,15;0,00;0,00;;64508,86;N
NOVA;12;2023;54613,99;54613,99;0,00;0,00;;30246,69;N
NOVA;2;2024;109101,68;109101,68;0,00;0,00;;63122,49;N
NOVA;3;2024;132854,28;132854,28;0,00;0,00;;35225,91;N
NOVA;4;2024;186662,85;186662,85;0,00;0,00;;71586,55;N
NOVA;5;2024;110654,15;110654,15;0,00;0,00;;23116,26;N
NOVA;6;2024;142230,55;142230,55;0,00;0,00;;32788,90;N
NOVA;7;2024;177428,79;177428,79;0,00;0,00;;44827,20;N
NOVA;8;2024;117965,24;117965,24;0,00;0,00;;25169,94;N
NOVA;9;2024;100254,45;100254,45;0,00;0,00;;40721,64;N
NOVA;10;2024;91386,72;91386,72;0,00;0,00;;61289,61;N
NOVA;11;2024;65111,52;65111,52;0,00;0,00;;38493,20;N
NOVA;1;2025;75371,77;75371,77;0,00;0,00;45215,57;45215,57;N
NOVA;2;2025;42455,40;42455,40;0,00;0,00;35396,61;35396,61;N
NOVA;3;2025;67551,51;67551,51;0,00;0,00;43292,17;46681,97;N
NOVA;4;2025;40554,62;40554,62;0,00;0,00;27714,72;27714,72;N
NOVA;6;2025;95364,13;95364,13;0,00;0,00;66870,05;66870,05;N
NOVA;7;2025;34912,85;34912,85;0,00;0,00;24047,55;24047,55;N
NOVA;8;2025;102006,47;102006,47;0,00;0,00;;64562,79;N
NOVA;9;2025;90499,80;90499,80;0,00;0,00;;55970,74;N
NOVA;10;2025;92711,19;92711,19;0,00;0,00;;42334,44;N
NOVA;11;2025;66159,52;66159,52;0,00;0,00;;30302,82;N
NOVA;12;2025;117228,23;117228,23;0,00;0,00;80133,63;80133,63;N
NOVA;1;2026;78230,40;78230,40;0,00;0,00;39128,15;39128,15;N
NOVA;2;2026;76909,76;76909,76;0,00;0,00;52384,10;52384,10;N
NOVA;3;2026;97724,18;97724,18;0,00;0,00;44611,63;50079,33;N
NOVA;4;2026;77122,48;77122,48;0,00;0,00;40609,78;40609,78;N
NOVA;5;2026;79227,98;79227,98;0,00;0,00;49426,60;49426,60;N
NOVA;6;2026;101346,67;101346,67;0,00;0,00;64146,30;64146,30;N
