codigo_produto;codigo;familia;estoque;vendas_qtd;vendas_valor;descricao;valor_unitario;ncm;ean;unidade;inativo
2161945598;80080630;Peças;4;200;377,79;PARAFUSO SEXT.INTERNO FE/ZNXC3 = 80080630;0,835899;7318.15.00;;UN;N
2357262609;80200640;Peças;0;200;94,45;PORCA HEXAGONAL FE/ZNXC3 = 80200640;0,177855;7318.16.00;;PC;N
2161923782;Y5820400;Peças;20;100;2738,96;PINO Ø16X88MM;30,022147;7318.15.00;;UN;N
2059537291;Y5605650;Peças;0;100;5666,81;BRACO PANTOGRAFO Y5605650;59,642676;8432.90.00;;UNID;N
2161923777;Y5820390;Peças;-4;100;2738,96;PINO Ø16X118,5MM = Y5820390;33,312325;7318.15.00;;UN;N
2166102135;Y5820460;Peças;0;50;8264,09;SUPORTE LIMITADOR INFERIOR SDM Y5803140 / Y5820460;175;8432.90.00;;UN;N
2170211031;Y5820450;Peças;0;50;9680,79;SUPORTE LIMITADOR SUPERIOR SDM;205;8432.90.00;;UN;N
1973090261;90L;Peças;25;34;1788,73;LITRO OLEO 80W90 LUBRAX / IPIRANGA =  90L;58;2710.19.32;;LT;N
2139197910;FE00.03.3059;Peças;19;26;650;CJ ANEL DE VEDACAO TOPLANTING = FE00.03.3059;32;8432.90.00;;CJ;N
2339527401;Y5808210;Peças;0;25;2077,83;EIXO LIMITADOR SELECT KUHN Y5808210;88;8483.90.00;;PEÇ;N
