nCodServ;inativo;cCodigo;cDescricao;cDescrCompleta;nPrecoUnit;cIdTrib;cCodLC116;cCodServMun;cCodCateg;nAliqISS;cRetISS;nAliqPIS;cRetPIS;nAliqCOFINS;cRetCOFINS;nAliqCSLL;cRetCSLL;nAliqIR;cRetIR;nAliqINSS;cRetINSS;cCstIbsCbs;cClassTrib;cIndOper;nAliqIbsMun;nAliqIbsUf;nAliqCbs;nPercReducaoIbsMun;nPercReducaoIbsUf;nPercReducaoCbs
1979758762;N;hr;. Hora Trabalhada;Hora Trabalhada;193;01;14.01;140101;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979955370;S;hr.m;Hora Trabalhada Garantia Mahindra;Hora Trabalhada;110;01;14.01;3314712;;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1975974257;N;KM;. KM Deslocamento;Deslocamento por KM;3,6;01;14.01;140101;1.01.93;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1975822738;S;rev.2025.600;3.   Revisão de 600 horas 2025;3.   Revisão de 600 horas 2025;0;01;14.01;140101;;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1975955290;S;rev.9500S.3000;11º Revisão -   3000 horas 9500S;11º Revisão -   3000 horas 9500S||- Troca do óleo do motor|- Troca do óleo da transmissão|- Troca do óleo das ponteiras|- Troca do filtro lubrificante do motor|- Troca do filtro do combustível|- Troca do filtro racor|- Troca do filtro da transmissão|- Troca do filtro do hidráulico|- Troca do filtro pequeno de ar|- Troca do filtro grande ar;560;01;14.01;140101;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659458;N;rev2025.1200;Revisão de 1200 horas 2025;Revisão de 1200 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar, Troca de Correia do Motor.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659460;N;rev2025.1500;Revisão de 1500 horas 2025;Revisão de 1500 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659462;N;rev2025.1800;Revisão de 1800 horas 2025;Revisão de 1800 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659464;N;rev2025.2100;Revisão de 2100 horas 2025;Revisão de 2100 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Óleo do Cambio, Adição de aditivo no Radiador, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659466;N;rev2025.2400;Revisão de 2400 horas 2025;Revisão de 2400 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar, Troca de Correia do Motor.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659468;N;rev2025.2700;Revisão de 2700 horas 2025;Revisão de 2700 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1975809873;N;rev2025.300;Revisão de 300 horas 2025;Revisão de 300 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659470;N;rev2025.3000;Revisão de 3000 horas 2025;Revisão de 3000 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1975765598;N;rev2025.50;Revisão de 50 horas 2025;Revisão de 50 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1979659454;N;rev2025.600;Revisão de 600 horas 2025;Revisão de 600 horas 2025 - Troca de Óleo do Motor, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
